"Date","Open","High","Low","Close","Volume"
"01/29/2025","115.77","118.52","114.96","117.35","40,199,050"
"01/28/2025","115.175","116.15","112.95","114.17","40,554,760"
"01/27/2025","117.8","118.08","112.8","115.01","61,067,890"
"01/24/2025","124.55","125.25","122.23","122.84","31,570,300"
"01/23/2025","121.425","123.71","120.63","123.04","24,921,110"
"01/22/2025","123.08","125.65","121.912","123.75","35,023,840"
"01/21/2025","122.39","123.75","121.1201","122.28","31,578,830"
"01/17/2025","120.78","122.74","120.55","121.46","35,765,920"
"01/16/2025","120.24","121.09","118.25","118.44","29,414,130"
"01/15/2025","117.55","120.42","117.46","119.96","38,185,820"
"01/14/2025","118","118.66","114.5","116.09","37,005,280"
"01/13/2025","115.28","117.48","114.41","117.32","39,128,900"
"01/10/2025","118.18","118.71","114.4501","116.04","59,415,610"
"01/08/2025","124.51","125.3","120.1201","121.84","46,723,140"
"01/07/2025","130.51","131.71","126.8537","127.33","39,220,410"
"01/06/2025","129.07","130.73","127.36","129.55","48,020,190"
"01/03/2025","121.65","125.56","121.42","125.37","36,785,300"
"01/02/2025","122.29","123.14","119.44","120.63","34,256,180"
"12/31/2024","123.1","123.55","120.138","120.79","30,203,430"
"12/30/2024","123.562","124.1","122.35","122.44","30,501,640"
"12/27/2024","124.37","126.18","122.26","125.19","32,924,010"
"12/26/2024","125.52","127.2999","125.05","125.06","25,139,140"
"12/24/2024","127.51","127.51","124.66","126.29","24,829,560"
"12/23/2024","120.71","126.3387","120.47","124.6","47,777,900"
"12/20/2024","118","121.86","117.9","119.21","53,591,210"
"12/19/2024","122.16","123.38","118.45","118.88","46,160,670"
"12/18/2024","125.43","127.75","120.43","121.41","49,724,440"
"12/17/2024","124.45","127.08","123.15","125.02","43,314,940"
"12/16/2024","126.01","127.76","123.12","126.69","42,090,280"
"12/13/2024","131.3","131.3","124.77","126.91","67,544,740"
"12/12/2024","130","132.32","129.07","130.6","34,267,090"
"12/11/2024","128.52","131.21","126.2201","130.15","45,588,140"
"12/10/2024","131.56","131.56","127.07","127.74","38,907,200"
"12/09/2024","135.71","135.77","130","130.87","57,055,560"
"12/06/2024","141.48","142.7852","137.4","138.59","33,576,840"
"12/05/2024","143.68","143.95","140.38","141.36","29,576,930"
"12/04/2024","142.96","144.12","141.18","143.99","25,942,650"
